legislature,session,url,date
S,2004-05-11,https://www.senat.fr/seances/s200405/s20040511/st20040511000.html,2004-05-11
S,2004-05-12,https://www.senat.fr/seances/s200405/s20040512/st20040512000.html,2004-05-12
S,2004-05-26,https://www.senat.fr/seances/s200405/s20040526/st20040526000.html,2004-05-26
S,2004-05-25,https://www.senat.fr/seances/s200405/s20040525/st20040525000.html,2004-05-25
S,2004-05-13,https://www.senat.fr/seances/s200405/s20040513/st20040513000.html,2004-05-13
S,2004-05-18,https://www.senat.fr/seances/s200405/s20040518/st20040518000.html,2004-05-18
S,2004-05-19,https://www.senat.fr/seances/s200405/s20040519/st20040519000.html,2004-05-19
S,2004-06-01,https://www.senat.fr/seances/s200406/s20040601/st20040601000.html,2004-06-01
S,2004-06-02,https://www.senat.fr/seances/s200406/s20040602/st20040602000.html,2004-06-02
S,2004-06-03,https://www.senat.fr/seances/s200406/s20040603/st20040603000.html,2004-06-03
S,2004-06-08,https://www.senat.fr/seances/s200406/s20040608/st20040608000.html,2004-06-08
S,2004-06-09,https://www.senat.fr/seances/s200406/s20040609/st20040609000.html,2004-06-09
S,2004-06-10,https://www.senat.fr/seances/s200406/s20040610/st20040610000.html,2004-06-10
S,2004-06-15,https://www.senat.fr/seances/s200406/s20040615/st20040615000.html,2004-06-15
S,2004-06-16,https://www.senat.fr/seances/s200406/s20040616/st20040616000.html,2004-06-16
S,2004-06-17,https://www.senat.fr/seances/s200406/s20040617/st20040617000.html,2004-06-17
S,2004-06-21,https://www.senat.fr/seances/s200406/s20040621/st20040621000.html,2004-06-21
S,2004-06-22,https://www.senat.fr/seances/s200406/s20040622/st20040622000.html,2004-06-22
S,2004-06-23,https://www.senat.fr/seances/s200406/s20040623/st20040623000.html,2004-06-23
S,2004-06-24,https://www.senat.fr/seances/s200406/s20040624/st20040624000.html,2004-06-24
S,2004-06-28,https://www.senat.fr/seances/s200406/s20040628/st20040628000.html,2004-06-28
S,2004-06-29,https://www.senat.fr/seances/s200406/s20040629/st20040629000.html,2004-06-29
S,2004-07-08,https://www.senat.fr/seances/s200407/s20040708/st20040708000.html,2004-07-08
S,2004-07-01,https://www.senat.fr/seances/s200407/s20040701/st20040701000.html,2004-07-01
S,2004-07-05,https://www.senat.fr/seances/s200407/s20040705/st20040705000.html,2004-07-05
S,2004-07-06,https://www.senat.fr/seances/s200407/s20040706/st20040706000.html,2004-07-06
S,2004-07-07,https://www.senat.fr/seances/s200407/s20040707/st20040707000.html,2004-07-07
S,2004-07-09,https://www.senat.fr/seances/s200407/s20040709/st20040709000.html,2004-07-09
S,2004-07-15,https://www.senat.fr/seances/s200407/s20040715/st20040715000.html,2004-07-15
S,2004-07-16,https://www.senat.fr/seances/s200407/s20040716/st20040716000.html,2004-07-16
S,2004-07-21,https://www.senat.fr/seances/s200407/s20040721/st20040721000.html,2004-07-21
S,2004-07-22,https://www.senat.fr/seances/s200407/s20040722/st20040722000.html,2004-07-22
S,2004-07-23,https://www.senat.fr/seances/s200407/s20040723/st20040723000.html,2004-07-23
S,2004-07-24,https://www.senat.fr/seances/s200407/s20040724/st20040724000.html,2004-07-24
S,2004-07-27,https://www.senat.fr/seances/s200407/s20040727/st20040727000.html,2004-07-27
S,2004-07-26,https://www.senat.fr/seances/s200407/s20040726/st20040726000.html,2004-07-26
S,2004-07-29,https://www.senat.fr/seances/s200407/s20040729/st20040729000.html,2004-07-29
S,2004-10-01,https://www.senat.fr/seances/s200410/s20041001/st20041001000.html,2004-10-01
S,2004-10-07,https://www.senat.fr/seances/s200410/s20041007/st20041007000.html,2004-10-07
S,2004-10-12,https://www.senat.fr/seances/s200410/s20041012/st20041012000.html,2004-10-12
S,2004-10-13,https://www.senat.fr/seances/s200410/s20041013/st20041013000.html,2004-10-13
S,2004-10-14,https://www.senat.fr/seances/s200410/s20041014/st20041014000.html,2004-10-14
S,2004-10-20,https://www.senat.fr/seances/s200410/s20041020/st20041020000.html,2004-10-20
S,2004-10-06,https://www.senat.fr/seances/s200410/s20041006/st20041006000.html,2004-10-06
S,2004-10-21,https://www.senat.fr/seances/s200410/s20041021/st20041021000.html,2004-10-21
S,2004-10-26,https://www.senat.fr/seances/s200410/s20041026/st20041026000.html,2004-10-26
S,2004-10-19,https://www.senat.fr/seances/s200410/s20041019/st20041019000.html,2004-10-19
S,2004-10-27,https://www.senat.fr/seances/s200410/s20041027/st20041027000.html,2004-10-27
S,2004-10-28,https://www.senat.fr/seances/s200410/s20041028/st20041028000.html,2004-10-28
S,2004-11-02,https://www.senat.fr/seances/s200411/s20041102/st20041102000.html,2004-11-02
S,2004-11-03,https://www.senat.fr/seances/s200411/s20041103/st20041103000.html,2004-11-03
S,2004-11-04,https://www.senat.fr/seances/s200411/s20041104/st20041104000.html,2004-11-04
S,2004-11-05,https://www.senat.fr/seances/s200411/s20041105/st20041105000.html,2004-11-05
S,2004-11-09,https://www.senat.fr/seances/s200411/s20041109/st20041109000.html,2004-11-09
S,2004-11-10,https://www.senat.fr/seances/s200411/s20041110/st20041110000.html,2004-11-10
S,2004-11-16,https://www.senat.fr/seances/s200411/s20041116/st20041116000.html,2004-11-16
S,2004-11-17,https://www.senat.fr/seances/s200411/s20041117/st20041117000.html,2004-11-17
S,2004-11-23,https://www.senat.fr/seances/s200411/s20041123/st20041123000.html,2004-11-23
S,2004-11-24,https://www.senat.fr/seances/s200411/s20041124/st20041124000.html,2004-11-24
S,2004-11-25,https://www.senat.fr/seances/s200411/s20041125/st20041125000.html,2004-11-25
S,2004-11-26,https://www.senat.fr/seances/s200411/s20041126/st20041126000.html,2004-11-26
S,2004-11-29,https://www.senat.fr/seances/s200411/s20041129/st20041129000.html,2004-11-29
S,2004-11-30,https://www.senat.fr/seances/s200411/s20041130/st20041130000.html,2004-11-30
S,2004-12-01,https://www.senat.fr/seances/s200412/s20041201/st20041201000.html,2004-12-01
S,2004-12-02,https://www.senat.fr/seances/s200412/s20041202/st20041202000.html,2004-12-02
S,2004-12-03,https://www.senat.fr/seances/s200412/s20041203/st20041203000.html,2004-12-03
S,2004-12-04,https://www.senat.fr/seances/s200412/s20041204/st20041204000.html,2004-12-04
S,2004-12-06,https://www.senat.fr/seances/s200412/s20041206/st20041206000.html,2004-12-06
S,2004-12-07,https://www.senat.fr/seances/s200412/s20041207/st20041207000.html,2004-12-07
S,2004-12-08,https://www.senat.fr/seances/s200412/s20041208/st20041208000.html,2004-12-08
S,2004-12-09,https://www.senat.fr/seances/s200412/s20041209/st20041209000.html,2004-12-09
S,2004-12-10,https://www.senat.fr/seances/s200412/s20041210/st20041210000.html,2004-12-10
S,2004-12-13,https://www.senat.fr/seances/s200412/s20041213/st20041213000.html,2004-12-13
S,2004-12-14,https://www.senat.fr/seances/s200412/s20041214/st20041214000.html,2004-12-14
S,2004-12-15,https://www.senat.fr/seances/s200412/s20041215/st20041215000.html,2004-12-15
S,2004-12-16,https://www.senat.fr/seances/s200412/s20041216/st20041216000.html,2004-12-16
S,2004-12-17,https://www.senat.fr/seances/s200412/s20041217/st20041217000.html,2004-12-17
S,2004-12-20,https://www.senat.fr/seances/s200412/s20041220/st20041220000.html,2004-12-20
S,2004-12-21,https://www.senat.fr/seances/s200412/s20041221/st20041221000.html,2004-12-21
S,2004-12-22,https://www.senat.fr/seances/s200412/s20041222/st20041222000.html,2004-12-22
S,2005-01-18,https://www.senat.fr/seances/s200501/s20050118/st20050118000.html,2005-01-18
S,2005-01-19,https://www.senat.fr/seances/s200501/s20050119/st20050119000.html,2005-01-19
S,2003-01-15,https://www.senat.fr/seances/s200301/s20030115/st20030115000.html,2003-01-15
S,2003-01-21,https://www.senat.fr/seances/s200301/s20030121/st20030121000.html,2003-01-21
S,2003-01-22,https://www.senat.fr/seances/s200301/s20030122/st20030122000.html,2003-01-22
S,2003-01-23,https://www.senat.fr/seances/s200301/s20030123/st20030123000.html,2003-01-23
S,2003-01-28,https://www.senat.fr/seances/s200301/s20030128/st20030128000.html,2003-01-28
S,2003-01-29,https://www.senat.fr/seances/s200301/s20030129/st20030129000.html,2003-01-29
S,2003-02-13,https://www.senat.fr/seances/s200302/s20030213/st20030213000.html,2003-02-13
S,2003-02-25,https://www.senat.fr/seances/s200302/s20030225/st20030225000.html,2003-02-25
S,2003-02-04,https://www.senat.fr/seances/s200302/s20030204/st20030204000.html,2003-02-04
S,2003-02-05,https://www.senat.fr/seances/s200302/s20030205/st20030205000.html,2003-02-05
S,2003-02-06,https://www.senat.fr/seances/s200302/s20030206/st20030206000.html,2003-02-06
S,2003-02-11,https://www.senat.fr/seances/s200302/s20030211/st20030211000.html,2003-02-11
